year,Income,percentage
2006,Low,13.82%
2006,Median,7.43%
2006,High,2.99%
2007,Low,15.45%
2007,Median,7.68%
2007,High,3.96%
2008,Low,16.80%
2008,Median,8.30%
2008,High,4.37%
2009,Low,16.23%
2009,Median,8.27%
2009,High,4.37%
2010,Low,15.67%
2010,Median,8.50%
2010,High,4.37%
2011,Low,15.89%
2011,Median,9.24%
2011,High,3.99%
2012,Low,15.97%
2012,Median,10.23%
2012,High,3.11%
2013,Low,14.89%
2013,Median,10.75%
2013,High,4.01%
2014,Low,14.00%
2014,Median,11.60%
2014,High,4.44%
2015,Low,15.00%
2015,Median,10.00%
2015,High,4.32%
2016,Low,16.20%
2016,Median,8.50%
2016,High,3.98%
